establecimiento_id,establecimiento_nombre_comercial,direccion,direccion_municipio_nombre,direccion_localidad_nombre,direccion_codigo_postal,numero_dormitorios_individuales_,numero_dormitorios_dobles_explot,plazas,longitud,latitud
A-38-4-0001180,Casa Esmeralda,"C/ Esmeralda, 14",Granadilla De Abona,San Isidro,38611,0,0,6,-16.561686,28.086954
A-38-4-0001181,Gavota,Avenida Los Playeros 27   3 C,Arona,_U,38650,0,1,3,0,0
A-38-4-0001182,Los Moxaicos Tenerife,"Ctra. A Las Galletas (Tf-652), Nº 99, Bj.  Edf. Los Moxaicos, Vivienda 1",Arona,Rosas (Las),38631,0,0,3,-16.651815,28.025616
A-38-4-0001183,Los Moxaicos Tenerife,"Ctra. A Las Galletas (Tf-652), Nº 99, Bj.  Edf. Los Moxaicos, Vivienda 2",Arona,Rosas (Las),38631,0,0,3,-16.651815,28.025616
A-38-4-0001184,Los Moxaicos Tenerife,"Ctra. A Las Galletas (Tf-652), Nº 99, Bj.  Edf. Los Moxaicos, Vivienda 3",Arona,Rosas (Las),38631,0,0,3,-16.651815,28.025616
A-38-4-0001185,Los Moxaicos Tenerife,"Ctra. A Las Galletas (Tf-652), Nº 99, Bj.  Edf. Los Moxaicos, Vivienda 4",Arona,Rosas (Las),38631,0,0,3,-16.651815,28.025616
A-38-4-0001186,Los Moxaicos Tenerife,"Ctra. A Las Galletas (Tf-652), Nº 99, Bj.  Edf. Los Moxaicos, Vivienda 5",Arona,Rosas (Las),38631,0,0,3,-16.651815,28.025616
A-38-4-0001187,Los Moxaicos Tenerife,"Ctra. A Las Galletas (Tf-652), Nº 99, Bj.  Edf. Los Moxaicos, Vivienda 6",Arona,Rosas (Las),38631,0,0,3,-16.651815,28.025616
A-38-4-0001188,Los Moxaicos Tenerife,"Ctra. A Las Galletas (Tf-652), Nº 99, Bj.  Edf. Los Moxaicos, Vivienda 7",Arona,Rosas (Las),38631,0,0,3,-16.651815,28.025616
A-38-4-0001189,Los Moxaicos Tenerife,"Ctra. A Las Galletas (Tf-652), Nº 99, Bj.  Edf. Los Moxaicos, Vivienda 8",Arona,Rosas (Las),38631,0,0,3,-16.651815,28.025616
A-38-4-0001190,Los Moxaicos Tenerife,"Ctra. A Las Galletas (Tf-652), Nº 99, Bj,  Edf. Los Moxaicos, Vivienda 9",Arona,Rosas (Las),38631,0,0,3,-16.651815,28.025616
A-38-4-0001191,Los Moxaicos Tenerife,"Ctra. A Las Galletas (Tf-652), Nº 99, Bj,  Edf. Los Moxaicos, Vivienda 10",Arona,Rosas (Las),38631,0,0,3,-16.651815,28.025616
A-38-4-0001192,Casa Justina,Calle Real Villa De Teguise 3,Garachico,_U,38460,0,3,6,0,0
A-38-4-0001193,Casa Agueda,"Avda. Las Aguas, 23",San Juan De La Rambla,Aguas (Las),38000,0,0,4,-16.641094,28.395437
A-38-4-0001196,Sin Denominacion,"C/ Calvo Sotelo, 1",Garachico,Garachico,38450,0,0,4,-16.764538,28.373755
A-38-4-0001197,Casa Demaro,"C/ Sabina, 33",El Sauzal,Sauzal (El),38360,0,0,9,-16.435398,28.46784
A-38-4-0001198,House Gallery 10,C Tijoco Bajo 10,Adeje,_U,38670,4,2,8,0,0
A-38-4-0001199,Finca Patio Canario,"C/ Figon, 6, Bajo 2",Arona,Valle San Lorenzo,38626,0,0,3,-16.652893,28.089287
A-38-4-0001200,Finca Patio Canario,"C/ Figon, 6, 1º, Puerta 3",Arona,Valle San Lorenzo,38626,0,0,3,-16.652893,28.089287
A-38-4-0001201,Finca Patio Canario,"C/ La Fajana, 3, 1º, Apto. 4",Arona,Valle San Lorenzo,38626,0,0,4,-16.652905,28.08919
A-38-4-0001202,Finca Patio Canario,"C/ La Fajana, 3, Bajo, Appto. 5",Arona,Valle San Lorenzo,38626,0,0,3,-16.652905,28.08919
A-38-4-0001203,Finca Patio Canario,"C/ La Fajana, 3, Bajo, Appto. 6",Arona,Valle San Lorenzo,38626,0,0,2,-16.652905,28.08919
A-38-4-0001204,Casa Julia San Andres,"Camino Las Barranqueras, 1a, Planta Baja, Vivienda 2",Santa Cruz Tenerife,San Andres,38120,0,0,4,-16.197472,28.51046
A-38-4-0001205,Sin Denominacion,"C/ Transversal Alvaro Rodríguez López, 17, 2ºe",Santa Cruz Tenerife,Taganana,38003,0,0,2,-16.261309,28.457308
A-38-4-0001211,Abades Beach House,"C/ Abona, 3, Urb. Canteras Del Sol, Vivienda 48",Arico,Abades,38588,0,0,5,-16.445383,28.144855
A-38-4-0001215,Casa Ia Orana,"C/ El Risco, 11",Adeje,Adeje,38670,0,0,4,-16.723522,28.121738
A-38-4-0001221,Sin Denominacion,"C/ Doctor Miguel Lopez Gonzalez, 4, 4º, Puerta 2",Santa Cruz Tenerife,Santa Cruz De Tenerife,38003,0,0,3,-16.254025,28.465815
A-38-4-0001225,El Sol,"C/ Atalisca, 2, Urb. Atalisca, Fase Ii, Vivienda 18c",Icod De Los Vinos,San Marcos,38430,0,0,4,-16.722191,28.378456
A-38-4-0001227,La Luna,"C/ Atalista, Urb. Atalisca, Fase Iii, Vivienda 4",Icod De Los Vinos,San Marcos,38430,0,0,3,-16.721851,28.378353
A-38-4-0001228,Orbelinda,"C/ Jilguero, 9, Res. Mocan Del Palm-Mar, Bloque V, Apto. 2 J (Vivienda 48)",Arona,Palm-Mar,38632,0,0,3,-16.695845,28.024771
A-38-4-0001229,Vivienda Edificio San Jose,"C/ Real, 1, Edf. San Jose, Apto. 1e",Arico,Poris De Abona,38260,0,0,5,-16.432791,28.164825
A-38-4-0001230,Vivienda Residencial Cary Ii,"C/ La Paz, 1, Vivienda 55",Arico,Poris De Abona,38588,0,0,5,-16.4331,28.165577
A-38-4-0001232,La Gaviota B,"C/ La Gaviota, 17, Vivienda B",Granadilla De Abona,Medano (El),38000,0,0,4,-16.541361,28.043194
A-38-4-0001237,Vivienda,"C/ Pizarro, 26, Edf. Albatros Ii, 4º, Vivienda 7a",El Rosario,Radazul,38109,0,0,6,-16.326874,28.40296
A-38-4-0001238,Miramar,"Ctra. Del Rosario, 86, Urb. Miramar, Bloque 31, 11 C",Santa Cruz Tenerife,Ofra,38009,0,0,6,-16.277822,28.453533
A-38-4-0001240,Res. Atlantida,"C/ Alvaro Rodriguez Lopez, 12, Res. Atlantida, Portal 5, 7º Dcha.",Santa Cruz Tenerife,Santa Cruz De Tenerife,38005,0,0,6,-16.2575,28.458353
A-38-4-0001241,Piso Decathlon,"C/ Volcan Krakatoa, 1, 1º, Vivienda 4",San Cristobal De La Laguna,Chumberas(Las),38320,0,0,6,-16.303841,28.461788
A-38-4-0001242,Playa La Caleta De Interian,"C/ Mar De Plata, 42, Vivienda 2",Garachico,Caleta De Interian,38460,0,0,4,0,0
A-38-4-0001246,Chayofa Dream,Morro Chayofa 1 1   8,Arona,_U,38652,0,4,8,0,0
A-38-4-0001303,La Nea,"C/ Juan Sebastian Elcano, 41, Res. Atlantico, Edf. La Nea, Bloque ""A"", Portal 1, 7º, Appto. 49",El Rosario,Radazul,38109,0,0,4,-16.319422,28.403387
A-38-4-0001304,Jose'S Flat,"C/ Maria Del Cristo Ossuna, 4, 1ºc",San Cristobal De La Laguna,San Cristobal De La Laguna,38204,0,0,2,-16.31373,28.481997
A-38-4-0001305,Ciudamar,"C/ Fuente De Santa Cruz, 1, 4º, Puerta 2",Santa Cruz Tenerife,Santa Cruz De Tenerife,38003,0,0,6,-16.254831,28.456678
A-38-4-0001306,Vistamar 2,"C/ El Rosario, S/N (Casa Antigua)",San Juan De La Rambla,Rosario (El),38420,0,0,4,-16.625996,28.395065
A-38-4-0001307,Vistamar 1,"C/ El Rosario, S/N",San Juan De La Rambla,Rosario (El),38420,0,0,4,-16.625902,28.395441
A-38-4-0001309,Radazul,"C/ Cortes, 17, Urb. Paraiso Vii, -1, Appto. 62",El Rosario,Radazul,38109,0,0,6,-16.325144,28.408409
A-38-4-0001310,Sin Denominacion,"Calle Acentejo, Nº 84",La Matanza De Acentejo,Matanza De Acentejo (La),38379,0,0,12,-16.465378,28.449015
A-38-4-0001311,Sin Denominacion ,"C/ Acentejo, 88, Vivienda 1",La Matanza De Acentejo,Matanza De Acentejo (La),38379,0,0,4,-16.465576,28.448311
A-38-4-0001312,Sin Denominacion,"C/ Acentejo, 88, Vivienda 4",La Matanza De Acentejo,Matanza De Acentejo (La),38379,0,0,4,-16.465576,28.448311
A-38-4-0001315,Balmeda Cb,"C/ La Gaviota, 25, Res. Los Balos, Vivienda 11",Granadilla De Abona,Medano (El),38612,0,0,4,-16.542429,28.042233
A-38-4-0001319,Sin Denominacion,"Avda. Magallanes, 2, Edf. Riazor, 2º, Appto. 202",Granadilla De Abona,Medano (El),38612,0,0,4,-16.534407,28.043974
A-38-4-0001320,Sin Denominacion,"Calle Los Manzanos, Nº 55",El Sauzal,Sauzal (El),38360,0,0,4,-16.446369,28.470819
A-38-4-0001321,Sin Denominacion,"Avda. Venezuela, 30",Santa Ursula,Santa Ursula,38398,0,0,8,-16.49868,28.429396
A-38-4-0001322,Casa Medano,"C/ La Gaviota, 23, Res. Casa Medano, Vivienda 1",Granadilla De Abona,Medano (El),38612,0,0,4,-16.542046,28.042667
A-38-4-0001323,Casa Medano,"C/ La Gaviota, 23, Casa Medano, Vivienda 2",Granadilla De Abona,Medano (El),38612,0,0,4,-16.542046,28.042667
A-38-4-0001324,Casa Medano 8,"C/ La Gaviota Nº 23, Edf. Casa Medano, Vivienda 8",Granadilla De Abona,Medano (El),38612,0,0,4,-16.542046,28.042667
A-38-4-0001325,Casa Medano 9,"C/ La Gaviota, 23, Edf. Casa Medano, Vivienda 9",Granadilla De Abona,Medano (El),38612,0,0,4,-16.542046,28.042667
A-38-4-0001328,Casa Medano 15,"C/ La Gaviota N 23, Edf. Casa Medano, Vivienda 15",Granadilla De Abona,Medano (El),38612,0,0,4,-16.542046,28.042667
A-38-4-0001329,Casa Medano 16,"C/ La Gaviota, 23, Edf. Casa Medano, Vivienda 16",Granadilla De Abona,Medano (El),38612,0,0,4,-16.542046,28.042667
A-38-4-0001331,Los Delfines 01,"Avda. Principes De España, 63, 1º, Apto. 1",Icod De Los Vinos,Icod De Los Vinos,38430,0,0,4,-16.708738,28.374516
A-38-4-0001332,Los Delfines 04,"Avda. Principes De España, 63, 1º, Apto. 4",Icod De Los Vinos,Icod De Los Vinos,38430,0,0,3,-16.708738,28.374516
A-38-4-0001333,Los Delfines 07,"Avda. Principes De España, 63, 1º, Apto. 7",Icod De Los Vinos,Icod De Los Vinos,38430,0,0,3,-16.708738,28.374516
